Organization Name,Website,Headquarters,Organization Type,Firm Size,Target Clients,Industries Served,Core Services,Training Topics,Delivery Models,Pricing Model,Pricing Tier,Unique Selling Proposition,Key Differentiators,Marketing Strategy,Thought Leadership Channels,Partnerships,Notable Clients,Growth Indicators,Scalability Score
Shift Health (DEI in Healthcare),shifthealth.ca,"Toronto, ON",Boutique DEI Consultancy / Health,Small (5-25),"Healthcare Systems, Hospitals, Public Health","Healthcare, Public Health, Pharmaceuticals","Health Equity Consulting, Patient Equity, Clinical Trial Diversity, Provider Training","Health Equity, Patient-Centered Care, Clinical Trial Diversity, Cultural Safety in Health","Consulting, Research, Training, Program Design",Project-Based,Mid-Premium,Healthcare-specialized DEI consulting focused on health equity and patient outcomes,"Healthcare domain expertise, research capability, clinical credibility, patient equity lens","Healthcare Authority, Research-Based","Health publications, medical conferences, research papers","Hospital associations, medical schools, pharma companies","Major hospital networks, pharmaceutical companies, public health agencies",Health equity mandates expanding rapidly,6/10
BGC Canada (formerly Boys and Girls Clubs),bgccan.com,Multiple locations,Nonprofit DEI Organization,Large (100-500),"Youth, Communities, Corporate Partners","Youth Services, Community Development","Youth DEI Programming, Community Inclusion, Volunteer Training, Cultural Programs","Youth Equity, Community Inclusion, Cultural Programming, Anti-Bullying","Programs, Workshops, Community Events, Volunteer Training",Charitable / Grant-Funded,Low (subsidized),National youth development with equity and inclusion programming,"National reach, community trust, youth engagement expertise, brand recognition","Community Building, Youth Authority","Community events, social media, corporate partnerships","Corporate sponsors, government funders, community partners","Youth across Canada, corporate volunteer partners",Youth equity programming growing,6/10
Dialogue (DEI Wellness Platform),dialogue.co,"Montreal, QC",Health Tech / DEI Wellness,Mid-size (25-100),"Employers, HR Leaders, Benefits Managers",Cross-Industry,"Mental Health Equity, Inclusive Wellness Programs, Culturally Competent Care","Mental Health Equity, Culturally Competent Care, Inclusive Benefits, Employee Wellbeing","Digital Platform, Telemedicine, EAP, Wellness Programs",Per-Employee Subscription,Mid,Culturally competent digital health and wellness platform for inclusive employee benefits,"Tech platform, clinical expertise, DEI-aware mental health, scalable delivery","Technology Innovation, Health Authority","LinkedIn, HR conferences, health publications","Benefits providers, insurance companies, HR tech firms",Mid-to-large Canadian employers,Mental health equity market booming,9/10
Mosaic Institute,mosaicinstitute.ca,"Toronto, ON",Nonprofit DEI Organization,Small (5-25),"Government, Education, Communities, Interfaith Organizations","Public Sector, Education, Community Development","Interfaith Dialogue, Community Bridge-Building, Civic Engagement, Research","Interfaith Inclusion, Community Cohesion, Civic Pluralism, Anti-Hate","Programs, Research, Community Events, Policy Advisory",Grant-Funded + Contracts,Low,Interfaith and intercultural bridge-building for pluralistic communities,"Interfaith expertise, community engagement methodology, civic pluralism focus","Community Building, Interfaith Authority","Publications, community events, policy forums","Faith communities, government, academic institutions","Municipal governments, school boards, faith communities",Anti-hate and pluralism demand increasing,4/10
DiversiPro,diversipro.com,"Toronto, ON",Boutique DEI Consultancy,Small (5-25),"Healthcare, Government, Education, Nonprofits","Healthcare, Public Sector, Education, Nonprofits","Equity Strategy, Organizational Assessment, Anti-Racism Training, Accessibility","Anti-Racism, Accessibility, Equity Assessment, Indigenous Cultural Safety","Consulting, Training, Assessments, Policy Development",Project-Based,Mid,Comprehensive equity strategy consulting across public-facing sectors,"Multi-sector expertise, accessibility knowledge, assessment methodology","Practitioner Authority, Accessibility Expertise","LinkedIn, sector conferences, publications","Accessibility organizations, health networks","Ontario hospitals, municipalities, school boards",Accessibility and equity regulation expanding,6/10
Canadian Women's Foundation,canadianwomen.org,"Toronto, ON",Nonprofit DEI Organization,Mid-size (25-100),"Government, Donors, Community Organizations, Corporate Partners",Cross-Industry (Gender Focus),"Gender Equity Research, Grant-Making, Advocacy, Training","Gender-Based Violence, Economic Equity, Girls' Empowerment, Feminist Leadership","Grants, Research, Advocacy, Programs, Training",Charitable / Grant-Funded,Low (subsidized),National authority on gender equity with significant grant-making capacity,"Research authority, grant-making scale, policy influence, national reach","Research Authority, Gender Authority","Publications, advocacy campaigns, events","Government, foundations, corporate sponsors","Community organizations, government agencies",Gender equity funding streams stable,5/10
Diversio Academy,diversio.com/academy,"Toronto, ON",Training Provider (Digital),Small (5-25),"HR Professionals, DEI Practitioners, People Managers",Cross-Industry,"DEI Certification Programs, Online Learning, Skills Development","DEI Measurement, Inclusive Leadership, Data Literacy for DEI, Strategy Design","Online Courses, Certification, Self-Paced Learning",Per-Course / Certification Fee,Low-Mid,Data-driven DEI certification and professional development,"Connected to Diversio platform, data-driven curriculum, professional certification","Technology Innovation, Certification Authority","LinkedIn, webinars, industry events","HR associations, DEI networks","HR professionals, aspiring DEI practitioners",DEI certification market growing,9/10
Adjuvant Consulting,adjuvantconsulting.ca,"Ottawa, ON",Boutique DEI Consultancy,Solo/Micro (1-5),"Government, Nonprofits, International Development","Public Sector, International Development, Nonprofits","Gender Mainstreaming, GBA+ Analysis, International DEI, Policy Development","GBA+, Gender Mainstreaming, International Development Equity, Policy Analysis","Consulting, Policy Analysis, Training, Research",Project-Based,Mid,Specialized in gender-based analysis (GBA+) and federal equity policy,"Federal policy expertise, GBA+ methodology, international development experience","Government Expertise, Policy Authority","Government publications, policy conferences","Federal departments, international development agencies","Federal government, international NGOs",GBA+ requirements in federal procurement expanding,4/10
CivicAction (DiverseCity),civicaction.ca,"Toronto, ON",Nonprofit / Membership Network,Mid-size (25-100),"Corporate Leaders, Government, Young Professionals",Cross-Industry,"DiverseCity Fellows Program, Leadership Development, Civic Engagement","Diverse Leadership, Civic Participation, Community Leadership, Cross-Sector Collaboration","Fellowship Programs, Events, Networking, Community Projects",Membership + Sponsorship,Low-Mid,Cross-sector diverse leadership development through fellowship and civic engagement,"High-profile fellows network, cross-sector convening power, civic impact","Community Building, Leadership Authority","Events, media, social media, corporate partnerships","Corporate sponsors, government partners, universities","Young professionals, corporate leaders, civic organizations",Civic engagement and diverse leadership demand stable,5/10
Institute for Canadian Citizenship (ICC),inclusion.ca,"Toronto, ON",Nonprofit DEI Organization,Mid-size (25-100),"New Canadians, Government, Corporate Partners, Cultural Institutions","Public Sector, Cultural, Immigration","Newcomer Inclusion, Cultural Access Programs, Citizenship Engagement","Newcomer Integration, Cultural Inclusion, Citizenship, Canadian Identity","Programs, Events, Research, Partnerships",Charitable / Grant-Funded + Partnerships,Low,National inclusion programming for new Canadians through cultural engagement,"Cultural institution partnerships, newcomer engagement, national reach, brand reputation","Community Building, Cultural Authority","Events, publications, media partnerships","Cultural institutions, government, corporate partners","New Canadians, cultural institutions, government agencies",Immigration-driven inclusion demand strong,5/10
GoodPeople Consulting,goodpeopleconsulting.ca,"Vancouver, BC",Boutique DEI Consultancy,Solo/Micro (1-5),"Nonprofits, Small Business, Social Enterprise","Nonprofits, Social Enterprise, Community Development","Board Governance Equity, Volunteer DEI, Community Organization Capacity Building","Board Equity, Volunteer Inclusion, Nonprofit Governance, Community Engagement","Consulting, Workshops, Board Facilitation, Coaching",Project-Based,Low-Mid,Accessible equity consulting for nonprofit governance and community organizations,"Nonprofit sector depth, accessible pricing, community-centered approach",Accessibility + Community Authority,"Community events, sector publications, social media","Nonprofit networks, community foundations","BC nonprofits, community organizations, foundations",Nonprofit DEI investment increasing,4/10
KBRS (Knightsbridge Robertson Surrette),kbrs.ca,"Halifax, NS",Executive Search / DEI,Mid-size (25-100),"Boards, Senior Leaders, Public Sector","Public Sector, Higher Education, Healthcare, Nonprofits","Diverse Executive Search, Board Diversity, Leadership Assessment, Succession","Board Diversity, Executive Recruitment, Public Sector Leadership, Governance","Executive Search, Board Advisory, Assessment",Search Fee,Mid-Premium,Atlantic Canada's leading executive search firm with diversity focus,"Atlantic Canada market leadership, public sector relationships, university partnerships","Regional Authority, Network Expertise","Events, publications, sector conferences","Universities, hospital boards, Crown corporations","Atlantic Canadian organizations, universities, hospitals",Public sector diversity mandates strengthening,5/10
The Intercultural Institute of Montreal (IIM),iim.qc.ca,"Montreal, QC",Nonprofit / Training Provider,Small (5-25),"Government, Community Organizations, Educators, Social Workers","Public Sector, Social Services, Education","Intercultural Mediation, Community Integration, Anti-Racism Training","Intercultural Competency, Mediation, Anti-Racism, Immigration Integration","Training, Mediation Services, Research, Community Programs",Grant-Funded + Contract Training,Low-Mid,Pioneering intercultural mediation and integration services in Quebec,"40+ years experience, bilingual/multilingual, intercultural mediation expertise","Cultural Authority, Mediation Expertise","Publications, community events, academic partnerships","Immigration services, municipal governments, universities","Quebec government, community organizations, school boards",Quebec interculturalism policy driving demand,4/10
Aberisam Consulting,aberisam.com,"Toronto, ON",Boutique DEI Consultancy,Solo/Micro (1-5),"Corporate, Government, Education",Cross-Industry,"Inclusive Recruitment, Bias Interruption, DEI Facilitation, Strategy","Recruitment Bias, Interview Equity, Inclusive Hiring Practices, DEI Strategy","Consulting, Workshops, Training, Facilitation",Project-Based,Mid,Practical bias interruption in recruitment and talent management processes,"Recruitment specialization, practical tools, hands-on facilitation approach","Practitioner Authority, Recruitment Expertise","LinkedIn, HR events, webinars","HR associations, recruitment firms","Corporate HR departments, government agencies",Inclusive recruitment demand strong,5/10
Stratford Group,stratfordgroup.com,"Toronto, ON",HR Consulting Firm,Mid-size (25-100),"Healthcare, Government, Education","Healthcare, Public Sector, Education","Organizational Development, DEI Integration, Change Management, HR Strategy","Organizational Change, Culture Development, Leadership, DEI Strategy","Consulting, Training, Coaching, Program Design",Project-Based / Retainer,Mid,DEI integrated within comprehensive organizational development and change management,"Healthcare sector expertise, public sector relationships, OD methodology","Organizational Authority, Healthcare Expertise","Case studies, conferences, LinkedIn","Healthcare associations, government consultants","Ontario hospitals, government agencies, universities",Healthcare transformation creating DEI opportunities,6/10
Ascend Canada,ascendleadership.org,"Toronto, ON",Nonprofit / Membership Network,Small (5-25),"Pan-Asian Professionals, Corporate Partners","Professional Services, Technology, Financial Services","Pan-Asian Leadership Development, Networking, Mentoring, Corporate Partnerships","Asian Representation, Leadership Development, Corporate Advancement, Mentoring","Events, Mentoring Programs, Research, Networking",Membership + Sponsorship,Low,Pan-Asian professional advancement through leadership development and corporate partnerships,"Community trust, corporate partnerships, leadership programming, Pan-Asian network","Community Building, Cultural Authority","Events, social media, corporate partnerships","Corporate sponsors, professional associations","Major law firms, banks, consulting firms, tech companies",Asian representation in leadership growing focus,6/10
Odgers Berndtson Canada (DEI Practice),odgersberndtson.com,"Toronto, ON",Global Executive Search,Large (100-500),"Boards, C-Suite, Government Leaders",Cross-Industry,"Diverse Executive Search, Board Composition Advisory, CEO Succession, Assessment","Board Diversity, Executive Leadership, Public Sector Leadership, Assessment","Executive Search, Board Advisory, Assessment, Consulting",Search Fee / Retainer,Premium,Elite executive search with dedicated diversity and board composition advisory,"Global network, Canadian market depth, board-level relationships, assessment tools","Exclusivity, Leadership Authority","Executive events, publications, board networks","Board governance organizations, government","Major corporations, Crown corporations, universities",Board diversity regulation strengthening,5/10
Equity Matters Consulting,equitymatters.ca,"Winnipeg, MB",Boutique DEI Consultancy,Solo/Micro (1-5),"Government, Indigenous Organizations, Nonprofits","Public Sector, Indigenous Services, Community Development","Indigenous Equity Consulting, Cultural Safety, Treaty Education, Policy Development","Treaty Education, Indigenous Cultural Safety, Reconciliation, Equity Policy","Consulting, Training, Policy Review, Community Facilitation",Project-Based,Low-Mid,Prairie-based Indigenous equity and treaty education consulting,"Indigenous community relationships, treaty expertise, prairie regional knowledge","Cultural Authority, Regional Expertise","Community events, Indigenous media, sector conferences","Indigenous organizations, treaty organizations","Manitoba government, school boards, health authorities",Reconciliation and treaty education demand growing,4/10
BC Centre for Women in the Trades (BCCWITT),bccwitt.ca,"Vancouver, BC",Nonprofit DEI Organization,Small (5-25),"Women in Trades, Employers, Government, Unions","Construction, Trades, Manufacturing, Infrastructure","Women in Trades Recruitment, Retention Consulting, Employer Training, Mentoring","Women in Trades, Workplace Harassment, Retention Strategies, Inclusive Worksites","Programs, Training, Consulting, Mentoring, Employer Support",Grant-Funded + Contract Training,Low-Mid,Specialized women's inclusion programming for construction and skilled trades,"Trades sector expertise, community trust, practical worksite solutions, mentoring programs","Community Building, Trades Authority","Events, sector publications, social media","Trade unions, construction associations, government apprenticeship offices","Construction companies, unions, government infrastructure projects",Infrastructure investment driving trades diversity demand,5/10
Elevate Inclusion Strategies,elevateinclusion.ca,"Toronto, ON",Boutique DEI Consultancy,Small (5-25),"Corporate, Financial Services, Professional Services","Financial Services, Professional Services, Technology","ERG Strategy, Inclusive Culture, Leadership Development, DEI Measurement","Employee Resource Groups, Sponsorship Programs, Inclusive Culture Metrics, Allyship","Consulting, Coaching, Workshops, ERG Advisory",Project-Based / Retainer,Mid-Premium,Deep expertise in Employee Resource Group strategy and inclusive culture measurement,"ERG strategy specialization, financial services knowledge, measurement frameworks","Practitioner Authority, ERG Expertise","LinkedIn, conferences, webinars","ERG networks, financial services DEI councils","Major banks, insurance companies, law firms",ERG investment and measurement growing,6/10
ENGAGE! Community,engagecommunity.ca,"Hamilton, ON",Training Provider,Small (5-25),"Municipalities, Community Organizations, Small Business","Municipal Government, Community Development, Small Business","Community Engagement, Inclusive Consultation, Civic Participation, Anti-Racism","Community Engagement, Civic Equity, Anti-Racism, Inclusive Decision-Making","Workshops, Facilitation, Consulting, Community Events",Project-Based / Per-Session,Low-Mid,Equitable community engagement and inclusive civic participation consulting,"Municipal expertise, community engagement methodology, grassroots approach","Community Building, Civic Authority","Community events, municipal publications, social media","Municipal associations, community foundations","Ontario municipalities, community organizations, planning departments",Municipal equity commitments growing,5/10
Reconciliation Canada,reconciliationcanada.ca,"Vancouver, BC",Nonprofit DEI Organization,Mid-size (25-100),"Government, Corporate, Indigenous Communities, Educational Institutions",Cross-Industry (Reconciliation Focus),"Reconciliation Programs, Walking Together, Corporate Reconciliation Strategy, Education","Reconciliation, Indigenous Inclusion, Truth & Reconciliation, Corporate Responsibility","Programs, Events, Consulting, Education, Community Engagement",Charitable / Grant-Funded + Contracts,Low-Mid,National reconciliation programming bridging Indigenous and non-Indigenous communities,"National platform, community trust, cross-sector convening, brand recognition","Community Building, Reconciliation Authority","Events, media, publications, community programs","Indigenous organizations, corporate sponsors, government","Major corporations, government agencies, educational institutions",Reconciliation commitment deepening nationally,5/10
Black Professionals in Tech Network (BPTN),bptn.com,"Toronto, ON",Membership Network / Tech,Mid-size (25-100),"Black Tech Professionals, Corporate Partners, HR Leaders","Technology, Financial Services, Professional Services","Black Talent Recruitment, Corporate Partnerships, Community Building, Events","Black Representation in Tech, Inclusive Hiring, Community Building, Career Development","Events, Platform, Corporate Partnerships, Mentoring",Membership + Sponsorship,Mid,North America's largest Black professional tech community and corporate partnership platform,"Massive community network, corporate partnership model, tech focus, events scale","Community Building, Tech Authority","Events, social media, corporate partnerships, media","Major tech companies, banks, venture capital firms","Major tech companies, banks, consulting firms","Tech diversity investment strong, rapidly scaling",9/10
WoodGreen Community Services (Employment Equity),woodgreen.org,"Toronto, ON",Nonprofit DEI Organization,Large (100-500),"Newcomers, Underemployed Populations, Employers","Community Services, Employment, Settlement","Employment Equity Programs, Newcomer Employment Support, Employer Training","Newcomer Inclusion, Skills Recognition, Employment Barriers, Cultural Competency","Programs, Job Placement, Training, Employer Partnerships",Charitable / Grant-Funded,Low (subsidized),Community-based employment equity and newcomer integration programming,"Direct service delivery, community trust, employer partnerships, settlement expertise","Community Building, Employment Authority","Community programs, employer events, social media","Government settlement programs, employer networks","Newcomers, underemployed communities, participating employers",Immigration and employment equity demand strong,5/10
Aberisam Group,aberisam.com/group,"Toronto, ON",Training Provider,Small (5-25),"Corporate, Government, Education",Cross-Industry,"Anti-Racism Workshops, Inclusive Leadership, DEI Facilitation, Team Development","Anti-Racism, Microaggressions, Inclusive Teams, Power & Privilege","Workshops, Facilitation, Online Learning, Train-the-Trainer",Per-Session + Package,Low-Mid,Accessible anti-racism and inclusion workshops with train-the-trainer capability,"Facilitation expertise, accessible pricing, train-the-trainer model, repeat clients",Accessibility + Practitioner Authority,"Social media, HR events, word of mouth","HR professional networks, training associations","Corporate teams, government departments, school boards",Anti-racism training demand sustained,7/10
SeeChange (DEI Initiative),seechangeinitiative.org,"Toronto, ON",Nonprofit / Training,Small (5-25),"Youth, Employers, Educators","Education, Youth Services, Employment","Youth Employment Equity, Employer Training, Anti-Racism Education, Mentoring","Youth Equity, Anti-Racism, Mentoring, Employment Barriers, Inclusive Hiring","Programs, Training, Mentoring, Workshops",Grant-Funded + Contracts,Low,Youth-centered employment equity and anti-racism programming,"Youth engagement, employer partnerships, community trust, mentoring model","Community Building, Youth Authority","Social media, community events, partner communications","Government youth programs, employer networks, school boards","Youth participants, participating employers, school boards",Youth equity investment growing,5/10
Bernardo Ferdman Consulting (Canadian Clients),ferdmanconsulting.com,"San Diego, CA (Canadian Ops)",Speaker-Led / Academic Consultancy,Solo/Micro (1-5),"Senior Leaders, Academics, HR Executives",Cross-Industry,"Inclusion Research, Executive Education, Keynote Speaking, Academic Programs","Inclusion as Practice, Paradox of Inclusion, Leadership Development, Theory-to-Practice","Speaking, Executive Education, Consulting, Academic Programs",Per-Engagement / Project,Premium,World-class academic thought leadership on inclusion translated to organizational practice,"Academic credibility, published research, conceptual frameworks, global reputation","Research Authority, Academic Expertise","Books, academic journals, conferences, executive programs","Universities, research institutions, global DEI networks","Major corporations, universities, government agencies",Academic-practitioner bridge demand growing,3/10
Strandberg Consulting,corostrandberg.com,"Vancouver, BC",Boutique DEI Consultancy / CSR,Solo/Micro (1-5),"Corporate, Government, Nonprofits",Cross-Industry (CSR Focus),"CSR-DEI Integration, Sustainability Strategy, Social Impact, Stakeholder Engagement","CSR & DEI Integration, Sustainability, Social Impact, Community Investment","Consulting, Research, Speaking, Workshops",Project-Based,Mid,Pioneering integration of corporate social responsibility with DEI strategy,"CSR-DEI integration expertise, sustainability lens, government advisory experience","Sustainability Authority, CSR Expertise","Publications, conferences, government consultations","Sustainability organizations, government CSR offices","Government, major corporations, industry associations",ESG-DEI convergence creating opportunity,4/10
Dorval Consulting Group,dorvalgroup.com,"Toronto, ON",HR Consulting Firm,Small (5-25),"Healthcare, Government, Large Enterprise","Healthcare, Public Sector, Financial Services","HR Strategy, DEI Integration, Talent Management, Organizational Design","HR Strategy, Talent Equity, Organizational Design, Leadership Development","Consulting, HR Analytics, Executive Search, Training",Project-Based / Retainer,Mid,DEI-integrated HR strategy and organizational design consulting,"Healthcare HR expertise, government relationships, talent analytics","HR Authority, Organizational Expertise","LinkedIn, HR conferences, case studies","HR technology vendors, healthcare associations","Hospitals, government agencies, financial institutions",HR transformation creating DEI integration demand,6/10
Newcomer Kitchen / Amal Centre,newcomerkitchen.ca,"Toronto, ON",Social Enterprise / DEI,Small (5-25),"Newcomer Women, Employers, Government","Food Services, Community Development, Employment","Newcomer Women Employment, Social Enterprise, Community Building, Cultural Exchange","Newcomer Integration, Women's Economic Empowerment, Cultural Exchange, Social Enterprise","Programs, Employment Training, Community Events, Catering",Social Enterprise + Grants,Low,Social enterprise model employing newcomer women through food and cultural exchange,"Unique social enterprise model, media coverage, community impact, cultural programming","Community Building, Social Enterprise Innovation","Media coverage, social media, community events","Settlement agencies, food organizations, corporate partners","Newcomer women participants, corporate catering clients",Social enterprise DEI model gaining recognition,5/10
Centre for Social Innovation (CSI),socialinnovation.ca,"Toronto, ON",Membership Network / Social Enterprise,Mid-size (25-100),"Social Entrepreneurs, Nonprofits, Startups","Social Enterprise, Nonprofits, Innovation","Inclusive Workspace, Social Innovation Community, DEI Programs, Capacity Building","Social Innovation, Inclusive Design, Community Building, Nonprofit Capacity","Coworking, Events, Programs, Consulting",Membership + Program Fees,Low-Mid,Inclusive coworking and community building for social innovation sector,"Community network, physical spaces, programming, social innovation ecosystem","Community Building, Innovation Authority","Events, publications, social media, community programs","Social enterprise networks, government innovation offices","Social entrepreneurs, nonprofits, community organizations",Social innovation sector growing steadily,6/10
TurnAround Consulting,turnaroundconsulting.ca,"Edmonton, AB",Boutique DEI Consultancy,Solo/Micro (1-5),"Government, Education, Indigenous Organizations","Public Sector, Education, Indigenous Services","Indigenous Cultural Competency, Anti-Racism, Organizational Assessment","Indigenous Cultural Competency, Anti-Racism, Treaty Rights, Reconciliation","Consulting, Workshops, Assessments, Facilitation",Project-Based,Low-Mid,Alberta-focused Indigenous cultural competency and anti-racism consulting,"Regional expertise, Indigenous community relationships, practical approach","Cultural Authority, Regional Expertise","Community events, social media, sector conferences","Indigenous organizations, educational institutions","Alberta government, school boards, health authorities",Alberta reconciliation initiatives growing,4/10
Realize Strategies,realizestrategies.com,"Ottawa, ON",Boutique DEI Consultancy,Small (5-25),"Government, Nonprofits, International Organizations","Public Sector, International Development, Nonprofits","GBA+, Results-Based Management, Inclusive Evaluation, Policy Development","GBA+, Evaluation, Results-Based Management, Inclusive Policy Design","Consulting, Training, Evaluation, Policy Analysis",Project-Based,Mid,Federal policy and evaluation consulting with integrated GBA+ and equity analysis,"Federal procurement expertise, evaluation methodology, bilingual, GBA+ specialization","Government Expertise, Evaluation Authority","Government publications, evaluation conferences","Federal departments, international organizations","Federal government, international development agencies",Federal equity requirements expanding,5/10
InkblotTherapy (DEI Wellness),inkblottherapy.com,"Toronto, ON",Health Tech / DEI Wellness,Mid-size (25-100),"Employers, HR Leaders, Employees",Cross-Industry,"Culturally Responsive Therapy, Inclusive EAP, Mental Health Equity","Mental Health Equity, Culturally Responsive Care, Inclusive Wellness, Employee Wellbeing","Digital Platform, Therapy Matching, EAP, Wellness Programs",Per-Employee Subscription,Mid,Culturally responsive mental health matching platform for inclusive employee wellness,"Therapy matching algorithm, cultural competency focus, digital platform, employer integration","Technology Innovation, Mental Health Authority","LinkedIn, HR conferences, wellness publications","Benefits providers, HR platforms",Mid-to-large Canadian employers,Culturally responsive mental health demand surging,9/10
Diversio Foundation,diversio.com/foundation,"Toronto, ON",Nonprofit DEI Organization,Small (5-25),"Startups, Underrepresented Founders, VCs","Technology, Venture Capital, Startups","Startup Ecosystem Equity, VC Diversity Programs, Founder Support","VC Diversity, Founder Equity, Startup Ecosystem, Investment Bias","Programs, Research, Advocacy, Community Building",Grant-Funded + Partnerships,Low,Driving equity in Canada's startup and venture capital ecosystem,"VC network, startup ecosystem knowledge, data capability, advocacy platform","Innovation Authority, Ecosystem Expertise","Events, research, social media, VC networks","Venture capital firms, tech accelerators, innovation hubs","Underrepresented founders, VC partners, tech ecosystem",VC diversity scrutiny increasing,7/10
Ryerson/TMU Diversity Institute,torontomu.ca/diversity,"Toronto, ON",Academic / Research Institute,Mid-size (25-100),"Government, Corporate, Researchers, Policymakers",Cross-Industry (Research Focus),"DEI Research, Policy Advisory, Workforce Development, Community Programs","Workforce Diversity, Immigration & Work, Digital Equity, Skills Development","Research, Programs, Policy Advisory, Training",Grant-Funded + Contracts,Low-Mid,"Leading academic research institution on diversity, migration, and workforce equity","Academic rigor, government advisory role, large-scale research programs, policy influence","Research Authority, Academic Expertise","Research publications, policy briefs, conferences, media","Government, universities, corporate research partners","Federal and provincial governments, major employers, academic community",Government-funded research programs expanding,5/10
